"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Bradley Beal","51.21","SG","WAS","HOU","35","10,300","4.97","-0.29"
"Trae Young","43.05","PG","ATL","LAC","35","10,600","4.06","-9.95"
"Russell Westbrook","41.59","PG","WAS","HOU","28","9,900","4.20","-7.91"
"DeMarcus Cousins","41.55","C","HOU","WAS","29","7,200","5.77","5.55"
"Victor Oladipo","39.17","SG","HOU","WAS","33","8,800","4.45","-4.83"
"Julius Randle","38.84","PF","NYK","UTA","35","9,100","4.27","-6.66"
"Rudy Gobert","38.82","C","UTA","NYK","31","8,300","4.68","-2.68"
"Clint Capela","38.73","C","ATL","LAC","33","10,500","3.69","-13.77"
"John Wall","38.11","PG","HOU","WAS","32","7,700","4.95","-0.39"
"Donovan Mitchell","37.73","SG","UTA","NYK","34","8,500","4.44","-4.77"
"John Collins","32.18","PF","ATL","LAC","32","7,400","4.35","-4.82"
"Serge Ibaka","30.61","PF","LAC","ATL","28","5,800","5.28","1.61"
"Mike Conley","29.33","PG","UTA","NYK","30","7,300","4.02","-7.17"
"Mitchell Robinson","29.07","C","NYK","UTA","30","5,800","5.01","0.07"
"Luke Kennard","28.73","SG","LAC","ATL","33","5,500","5.22","1.23"
"RJ Barrett","28.39","SF","NYK","UTA","34","7,500","3.79","-9.11"
"Eric Gordon","27.94","SF","HOU","WAS","30","6,000","4.66","-2.06"
"De'Andre Hunter","27.66","SF","ATL","LAC","35","5,600","4.94","-0.34"
"Lou Williams","27.57","PG","LAC","ATL","28","6,000","4.59","-2.43"
"Reggie Jackson","27.15","PG","LAC","ATL","29","5,000","5.43","2.15"
"Alec Burks","26.36","SG","NYK","UTA","30","5,300","4.97","-0.14"
"Kevin Huerter","26.31","SG","ATL","LAC","34","4,800","5.48","2.31"
"Jordan Clarkson","25.67","SG","UTA","NYK","25","6,000","4.28","-4.33"
"Nicolas Batum","24.99","SF","LAC","ATL","33","5,500","4.54","-2.51"
"Marcus Morris Sr.","24.93","PF","LAC","ATL","28","5,000","4.99","-0.07"
"Robin Lopez","24.58","C","WAS","HOU","26","4,800","5.12","0.58"
"Elfrid Payton","23.60","PG","NYK","UTA","29","5,200","4.54","-2.40"
"Garrison Mathews","22.51","SF","WAS","HOU","28","4,300","5.24","1.01"
"Terance Mann","22.10","SG","LAC","ATL","26","3,500","6.31","4.60"
