"X","MP","TS.","eFG.","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","GmSc","BPM","fpts"
"away",35.28,0.507,0.467,3,24.1,13.5,41.3,0,0,23,26.5,95,117,11.3,-4.1,36.3
"home",34.35,0.787,0.8,8.7,13.2,10.8,24.9,1.5,0,20.1,25.3,122,117,19.3,9.2,39.9
"home",37.07,0.664,0.559,11.1,25.9,20.1,25.4,0,2.3,8.4,27.6,143,106,27.3,9.1,62.3
"away",44.09,0.686,0.688,2.5,21.7,13.3,49.4,1.1,0,30.6,28.2,109,90,20.9,8.5,59.9
"away",37.39,0.531,0.417,2.4,23.9,12.6,24.9,0,4.1,16.6,20.6,98,101,12.2,0.5,34.5
"away",37.02,0.375,0.375,0,31,17.2,29.2,2.8,0,20,25,85,104,8.5,-2.3,41.2
"away",43.11,0.622,0.579,10.8,32.8,22.2,32.5,1.1,0,23.7,29.6,111,110,24.5,3.7,56.9
"home",39.31,0.48,0.385,8.5,33.6,21.6,25.9,0,0,13.8,41,102,105,19.3,-3.6,54.7
"home",30.42,0.551,0.567,0,38.3,16.9,50.9,1.6,0,10.9,26.3,106,100,15.4,7.2,44.9
"home",38.29,0.778,0.75,2.9,31.2,15.8,34.1,0,0,13.9,26.7,135,124,24.9,11.1,49.5
"away",30.21,0.439,0.222,0,21.4,9.2,25.6,0,3.4,24.2,23.6,87,122,6,-5.4,22.5
"home",40.15,0.58,0.56,0,19.4,9.4,20.9,2.6,0,7.2,31.3,118,123,22.1,4.9,51.9
"away",38.03,0.631,0.6,3.1,13.7,8.7,29,0,0,4.3,29,131,120,22.2,4.3,47.2
"away",31.03,0.617,0.571,0,32.5,19.3,22.8,4.9,0,15.6,28.2,113,65,18.2,9.5,47.4
"home",39.24,0.425,0.316,6.8,34.1,19.9,4.9,0,0,0,27.9,100,89,13.5,1.2,46.9
"away",36.23,0.568,0.409,5.5,37.3,22.2,36.3,1.3,0,12.4,19.1,129,99,19.9,7,51.9
"away",35.53,0.595,0.471,2.3,35.3,17.9,21.2,0,0,8.4,27.5,122,104,21.8,8.6,48
"away",32.41,0.547,0.417,10.2,13.7,12,25.6,3.2,0,18,37.5,109,122,16.2,-1.8,41.9
"away",35,0.507,0.438,6.1,21.1,14.1,19.8,0,0,10.1,26.7,107,121,12.2,0.4,38
"home",35.09,0.559,0.538,0,23.2,13,27.8,1.5,2.4,12.3,22.3,113,88,14.8,5.9,36.6
"home",35.08,0.654,0.611,6.7,41.4,22.2,23.8,0,0,12.7,31,126,142,20.9,4.3,53.9
"away",39.14,0.576,0.469,2.8,29.8,15.8,30.1,2.5,0,20,27.9,106,110,18.6,3.9,47.7
"away",38.2,0.647,0.675,2.9,14.9,8.8,25.7,2.6,0,12.6,26.6,123,104,21.2,11.2,54.2
"home",38.43,0.564,0.5,6.5,20.7,14.8,14,0,0,4.9,23.6,124,105,16.7,0.6,44.2
"home",37.57,0.658,0.639,5.3,34.8,18.7,34.9,0,2.6,13.2,27.8,127,116,24.3,10.3,57.1
"away",36.4,0.304,0.25,0,25.5,12.5,12.4,2.9,0,13.2,27.6,65,105,2.9,-9.2,29.1
"away",32.26,0.664,0.6,8.5,37.6,24,18.4,1.5,0,18.1,27.5,120,86,21.5,8.7,53.6
"home",33.14,0.594,0.5,3.8,22.2,14.4,8.3,0,3.2,5.1,27.3,120,101,17.3,2.2,38.8
"home",40.56,0.806,0.795,0,24.5,12.6,22.9,0,0,9.9,34.5,149,121,35.8,14.7,73.3
"away",36.15,0.658,0.658,0,20.1,9.7,21.5,0,0,20.8,28.5,101,114,14.5,2.4,38.9
"home",39.03,0.64,0.563,2.6,36.3,18.9,21.2,0,0,17,26.8,114,102,18,3.6,47.8
"home",34.37,0.529,0.452,13.3,15.4,14.3,36.1,0,0,4.1,28.5,131,119,21.6,11,52.5
"home",30.49,0.556,0.556,8.9,44.5,28.3,16.8,1.5,0,20.9,33.1,103,112,13.8,-6.2,44.8
"home",41.31,0.612,0.591,3.5,26,15.8,26.6,4.5,0,17.9,29.7,105,99,22,4.7,56
"away",37.45,0.647,0.639,3.3,21.2,12.6,24.4,2.7,3.2,4.9,25.5,133,95,23.9,12.2,54.6
"away",30.55,0.426,0.406,0,41.7,19.9,32.8,0,3.3,15.4,29.1,86,121,8.5,-4.5,35.7
