Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2020-12-23,26-024,NYK,@,IND,L (-14),1,35:28,.507,.467,3.0,24.1,13.5,41.3,0.0,0.0,23.0,26.5,95,117,11.3,-4.1
2,2,2020-12-26,26-027,NYK,,PHI,L (-20),1,34:35,.787,.800,8.7,13.2,10.8,24.9,1.5,0.0,20.1,25.3,122,117,19.3,9.2
3,3,2020-12-27,26-028,NYK,,MIL,W (+20),1,37:07,.664,.559,11.1,25.9,20.1,25.4,0.0,2.3,8.4,27.6,143,106,27.3,9.1
4,4,2020-12-29,26-030,NYK,@,CLE,W (+9),1,44:09,.686,.688,2.5,21.7,13.3,49.4,1.1,0.0,30.6,28.2,109,90,20.9,8.5
5,5,2020-12-31,26-032,NYK,@,TOR,L (-17),1,37:39,.531,.417,2.4,23.9,12.6,24.9,0.0,4.1,16.6,20.6,98,101,12.2,0.5
6,6,2021-01-02,26-034,NYK,@,IND,W (+4),1,37:02,.375,.375,0.0,31.0,17.2,29.2,2.8,0.0,20.0,25.0,85,104,8.5,-2.3
7,7,2021-01-04,26-036,NYK,@,ATL,W (+5),1,43:11,.622,.579,10.8,32.8,22.2,32.5,1.1,0.0,23.7,29.6,111,110,24.5,3.7
8,8,2021-01-06,26-038,NYK,,UTA,W (+12),1,39:31,.480,.385,8.5,33.6,21.6,25.9,0.0,0.0,13.8,41.0,102,105,19.3,-3.6
9,9,2021-01-08,26-040,NYK,,OKC,L (-12),1,30:42,.551,.567,0.0,38.3,16.9,50.9,1.6,0.0,10.9,26.3,106,100,15.4,7.2
10,10,2021-01-10,26-042,NYK,,DEN,L (-25),1,38:29,.778,.750,2.9,31.2,15.8,34.1,0.0,0.0,13.9,26.7,135,124,24.9,11.1
11,11,2021-01-11,26-043,NYK,@,CHO,L (-21),1,30:21,.439,.222,0.0,21.4,9.2,25.6,0.0,3.4,24.2,23.6,87,122,6.0,-5.4
12,12,2021-01-13,26-045,NYK,,BRK,L (-7),1,40:15,.580,.560,0.0,19.4,9.4,20.9,2.6,0.0,7.2,31.3,118,123,22.1,4.9
13,13,2021-01-15,26-047,NYK,@,CLE,L (-3),1,38:03,.631,.600,3.1,13.7,8.7,29.0,0.0,0.0,4.3,29.0,131,120,22.2,4.3
14,14,2021-01-17,26-049,NYK,@,BOS,W (+30),1,31:03,.617,.571,0.0,32.5,19.3,22.8,4.9,0.0,15.6,28.2,113,65,18.2,9.5
15,15,2021-01-18,26-050,NYK,,ORL,W (+7),1,39:24,.425,.316,6.8,34.1,19.9,4.9,0.0,0.0,0.0,27.9,100,89,13.5,1.2
16,16,2021-01-21,26-053,NYK,@,GSW,W (+15),1,36:23,.568,.409,5.5,37.3,22.2,36.3,1.3,0.0,12.4,19.1,129,99,19.9,7.0
17,17,2021-01-22,26-054,NYK,@,SAC,L (-9),1,35:53,.595,.471,2.3,35.3,17.9,21.2,0.0,0.0,8.4,27.5,122,104,21.8,8.6
18,18,2021-01-24,26-056,NYK,@,POR,L (-3),1,32:41,.547,.417,10.2,13.7,12.0,25.6,3.2,0.0,18.0,37.5,109,122,16.2,-1.8
19,19,2021-01-26,26-058,NYK,@,UTA,L (-14),1,35:00,.507,.438,6.1,21.1,14.1,19.8,0.0,0.0,10.1,26.7,107,121,12.2,0.4
20,20,2021-01-29,26-061,NYK,,CLE,W (+21),1,35:09,.559,.538,0.0,23.2,13.0,27.8,1.5,2.4,12.3,22.3,113,88,14.8,5.9
21,21,2021-01-31,26-063,NYK,,LAC,L (-14),1,35:08,.654,.611,6.7,41.4,22.2,23.8,0.0,0.0,12.7,31.0,126,142,20.9,4.3
22,22,2021-02-01,26-064,NYK,@,CHI,L (-8),1,39:14,.576,.469,2.8,29.8,15.8,30.1,2.5,0.0,20.0,27.9,106,110,18.6,3.9
23,23,2021-02-03,26-066,NYK,@,CHI,W (+4),1,38:20,.647,.675,2.9,14.9,8.8,25.7,2.6,0.0,12.6,26.6,123,104,21.2,11.2
24,24,2021-02-06,26-069,NYK,,POR,W (+11),1,38:43,.564,.500,6.5,20.7,14.8,14.0,0.0,0.0,4.9,23.6,124,105,16.7,0.6
25,25,2021-02-07,26-070,NYK,,MIA,L (-6),1,37:57,.658,.639,5.3,34.8,18.7,34.9,0.0,2.6,13.2,27.8,127,116,24.3,10.3
26,26,2021-02-09,26-072,NYK,@,MIA,L (-2),1,36:40,.304,.250,0.0,25.5,12.5,12.4,2.9,0.0,13.2,27.6,65,105,2.9,-9.2
27,27,2021-02-12,26-075,NYK,@,WAS,W (+18),1,32:26,.664,.600,8.5,37.6,24.0,18.4,1.5,0.0,18.1,27.5,120,86,21.5,8.7
28,28,2021-02-13,26-076,NYK,,HOU,W (+22),1,33:14,.594,.500,3.8,22.2,14.4,8.3,0.0,3.2,5.1,27.3,120,101,17.3,2.2
29,29,2021-02-15,26-078,NYK,,ATL,W (+11),1,40:56,.806,.795,0.0,24.5,12.6,22.9,0.0,0.0,9.9,34.5,149,121,35.8,14.7
30,30,2021-02-17,26-080,NYK,@,ORL,L (-18),1,36:15,.658,.658,0.0,20.1,9.7,21.5,0.0,0.0,20.8,28.5,101,114,14.5,2.4
31,31,2021-02-21,26-084,NYK,,MIN,W (+4),1,39:03,.640,.563,2.6,36.3,18.9,21.2,0.0,0.0,17.0,26.8,114,102,18.0,3.6
32,32,2021-02-23,26-086,NYK,,GSW,L (-8),1,34:37,.529,.452,13.3,15.4,14.3,36.1,0.0,0.0,4.1,28.5,131,119,21.6,11.0
