"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Luka Doncic","54.13","PG","DAL","MIN","35","11,400","4.75","-2.87"
"Nikola Jokic","52.74","C","DEN","MIL","36","11,600","4.55","-5.26"
"Bradley Beal","52.43","SG","WAS","CHI","36","10,800","4.85","-1.57"
"LeBron James","49.76","SF","LAL","OKC","34","10,800","4.61","-4.24"
"Giannis Antetokounmpo","49.56","PF","MIL","DEN","34","11,200","4.43","-6.44"
"Zach LaVine","47.16","SG","CHI","WAS","35","8,800","5.36","3.16"
"Stephen Curry","47.06","PG","GS","SAS","34","10,100","4.66","-3.44"
"Shai Gilgeous-Alexander","43.61","SG","OKC","LAL","34","8,400","5.19","1.61"
"Victor Oladipo","42.83","SG","HOU","CHA","34","7,900","5.42","3.33"
"DeMar DeRozan","42.31","SG","SAS","GS","35","8,100","5.22","1.81"
"Andre Drummond","41.90","C","CLE","PHX","28","7,200","5.82","5.90"
"DeMarcus Cousins","41.34","C","HOU","CHA","30","6,000","6.89","11.34"
"LaMelo Ball","40.97","PG","CHA","HOU","34","7,800","5.25","1.97"
"Chris Paul","40.51","PG","PHX","CLE","33","7,500","5.40","3.01"
"Kristaps Porzingis","40.15","PF","DAL","MIN","31","8,100","4.96","-0.35"
"Pascal Siakam","39.89","SF","TOR","MEM","36","9,300","4.29","-6.61"
"Fred VanVleet","39.21","SG","TOR","MEM","36","9,200","4.26","-6.79"
"Dejounte Murray","38.02","PG","SAS","GS","32","7,100","5.35","2.52"
"Deandre Ayton","37.54","C","PHX","CLE","32","7,600","4.94","-0.46"
"Kyle Lowry","37.36","PG","TOR","MEM","36","8,300","4.50","-4.14"
"Gordon Hayward","37.28","SF","CHA","HOU","36","7,600","4.91","-0.72"
"Khris Middleton","36.74","SF","MIL","DEN","34","7,200","5.10","0.74"
"Andrew Wiggins","35.67","SG","GS","SAS","34","6,600","5.40","2.67"
"Hamidou Diallo","35.32","PG","OKC","LAL","35","6,200","5.70","4.32"
"Kelly Oubre Jr.","35.22","SF","GS","SAS","34","6,700","5.26","1.72"
"Devin Booker","34.53","SG","PHX","CLE","35","7,400","4.67","-2.47"
"Jrue Holiday","34.13","PG","MIL","DEN","34","8,200","4.16","-6.87"
"Draymond Green","34.02","PF","GS","SAS","34","7,300","4.66","-2.48"
"Jonas Valanciunas","33.91","C","MEM","TOR","27","6,700","5.06","0.41"
"Ja Morant","33.88","PG","MEM","TOR","31","7,200","4.71","-2.12"
"Collin Sexton","33.54","SG","CLE","PHX","36","6,800","4.93","-0.46"
"D'Angelo Russell","33.40","SG","MIN","DAL","31","7,500","4.45","-4.10"
"Jakob Poeltl","31.91","C","SAS","GS","30","5,800","5.50","2.91"
"Mikal Bridges","31.87","SF","PHX","CLE","34","5,600","5.69","3.87"
"Keldon Johnson","31.86","SF","SAS","GS","30","5,300","6.01","5.36"
"Terry Rozier","31.80","PG","CHA","HOU","36","6,100","5.21","1.30"
"Coby White","31.63","PG","CHI","WAS","33","5,600","5.65","3.63"
"Jamal Murray","31.56","PG","DEN","MIL","35","7,500","4.21","-5.94"
"Al Horford","31.41","C","OKC","LAL","28","6,500","4.83","-1.09"
"Malik Beasley","31.34","SF","MIN","DAL","32","6,900","4.54","-3.16"
"PJ Washington","31.02","PF","CHA","HOU","31","6,200","5.00","0.02"
"Thaddeus Young","30.80","C","CHI","WAS","29","7,200","4.28","-5.20"
"Rui Hachimura","30.30","SF","WAS","CHI","32","5,200","5.83","4.30"
"Chris Boucher","30.01","PF","TOR","MEM","23","5,900","5.09","0.51"
"Cody Zeller","29.75","C","CHA","HOU","28","5,800","5.13","0.75"
"Norman Powell","29.53","SG","TOR","MEM","34","6,500","4.54","-2.97"
"Kyle Anderson","29.10","SF","MEM","TOR","27","5,700","5.10","0.60"
"Ish Smith","28.87","PG","WAS","CHI","28","4,800","6.01","4.87"
"Jae'Sean Tate","28.71","SF","HOU","CHA","32","5,200","5.52","2.71"
"Dennis Schroder","28.66","PG","LAL","OKC","32","5,400","5.31","1.66"
"Darius Bazley","28.18","PF","OKC","LAL","33","6,200","4.55","-2.82"
"Denzel Valentine","27.82","SF","CHI","WAS","28","4,400","6.32","5.82"
"Derrick White","27.60","PG","SAS","GS","28","5,500","5.02","0.10"
"Patrick Williams","27.46","PF","CHI","WAS","34","4,500","6.10","4.96"
"Michael Porter Jr.","27.41","SF","DEN","MIL","28","5,200","5.27","1.41"
"Naz Reid","27.03","C","MIN","DAL","26","6,100","4.43","-3.47"
"Darius Garland","27.01","PG","CLE","PHX","33","6,200","4.36","-3.99"
"Montrezl Harrell","26.88","C","LAL","OKC","26","5,200","5.17","0.88"
"Will Barton","26.51","SF","DEN","MIL","34","4,800","5.52","2.51"
"Xavier Tillman","26.12","PF","MEM","TOR","24","5,100","5.12","0.62"
"Dillon Brooks","25.99","SG","MEM","TOR","29","4,700","5.53","2.49"
"David Nwaba","25.68","PG","HOU","CHA","26","5,000","5.14","0.68"
"Anthony Edwards","25.28","SG","MIN","DAL","31","5,800","4.36","-3.72"
"Kyle Kuzma","25.27","PF","LAL","OKC","29","4,900","5.16","0.77"
"Maxi Kleber","24.82","PF","DAL","MIN","29","4,200","5.91","3.82"
"Jarred Vanderbilt","24.78","PF","MIN","DAL","24","4,700","5.27","1.28"
"Luguentz Dort","24.75","SF","OKC","LAL","33","4,500","5.50","2.25"
"Gorgui Dieng","24.24","C","MEM","TOR","21","5,200","4.66","-1.76"
"Rudy Gay","24.00","SF","SAS","GS","24","4,000","6.00","4.00"
"Cameron Johnson","23.97","SF","PHX","CLE","28","4,200","5.71","2.97"
"Kenrich Williams","23.89","SF","OKC","LAL","32","4,400","5.43","1.89"
"Josh Richardson","23.76","SG","DAL","MIN","32","4,700","5.06","0.26"
"Danuel House Jr.","23.65","SF","HOU","CHA","30","4,800","4.93","-0.35"
"Jarrett Allen","23.54","PF","CLE","PHX","22","6,600","3.57","-9.46"
"Taurean Prince","23.45","SF","CLE","PHX","30","5,000","4.69","-1.55"
"Juan Toscano-Anderson","23.05","SF","GS","SAS","28","5,300","4.35","-3.45"
"Alex Len","22.91","C","WAS","CHI","22","5,500","4.17","-4.59"
"Davis Bertans","22.59","PF","WAS","CHI","28","4,300","5.25","1.09"
"Tim Hardaway Jr.","22.23","SG","DAL","MIN","27","5,100","4.36","-3.27"
"Brook Lopez","22.05","C","MIL","DEN","27","5,100","4.32","-3.45"
"Miles Bridges","21.94","SF","CHA","HOU","26","5,000","4.39","-3.06"
"Patty Mills","21.91","PG","SAS","GS","25","3,800","5.76","2.91"
"Dorian Finney-Smith","21.09","SF","DAL","MIN","31","3,700","5.70","2.59"
"Donte DiVincenzo","20.96","SG","MIL","DEN","26","4,300","4.87","-0.54"
"Paul Millsap","20.89","PF","DEN","MIL","25","4,800","4.35","-3.11"
"JaMychal Green","20.84","PF","DEN","MIL","24","4,900","4.25","-3.66"
"Justin Jackson","20.81","SF","OKC","LAL","27","3,600","5.78","2.81"
"Bobby Portis","20.42","PF","MIL","DEN","21","6,200","3.29","-10.58"
"Frank Kaminsky","19.99","PF","PHX","CLE","18","4,700","4.25","-3.51"
"Tomas Satoransky","19.96","PG","CHI","WAS","22","3,900","5.12","0.46"
"Jalen Brunson","19.88","PG","DAL","MIN","22","4,200","4.73","-1.12"
"Garrett Temple","19.75","SF","CHI","WAS","28","3,800","5.20","0.75"
"Cedi Osman","19.43","SF","CLE","PHX","25","4,600","4.22","-3.57"
"Monte Morris","19.22","PG","DEN","MIL","24","4,200","4.58","-1.78"
"Ricky Rubio","19.02","PG","MIN","DAL","20","4,700","4.05","-4.48"
"Aron Baynes","18.86","C","TOR","MEM","23","4,300","4.39","-2.64"
"Malik Monk","18.23","SG","CHA","HOU","26","4,500","4.05","-4.27"
"Deni Avdija","17.92","SF","WAS","CHI","20","3,700","4.84","-0.58"
"Desmond Bane","17.77","SG","MEM","TOR","24","4,300","4.13","-3.73"
"E'Twaun Moore","17.77","SF","PHX","CLE","22","3,500","5.08","0.27"
"Tyus Jones","17.73","PG","MEM","TOR","18","4,900","3.62","-6.77"
"Talen Horton-Tucker","17.55","SG","LAL","OKC","18","4,400","3.99","-4.45"
"Kentavious Caldwell-Pope","17.46","SG","LAL","OKC","26","3,600","4.85","-0.54"
"Marc Gasol","17.45","C","LAL","OKC","22","3,500","4.99","-0.05"
"Sterling Brown","17.23","SG","HOU","CHA","20","3,800","4.53","-1.77"
"Devin Vassell","16.92","SG","SAS","GS","18","3,600","4.70","-1.08"
"Raul Neto","16.80","PG","WAS","CHI","20","3,800","4.42","-2.20"
"P.J. Tucker","16.76","PF","HOU","CHA","29","3,700","4.53","-1.74"
"John Konchar","16.58","SG","MEM","TOR","17","3,600","4.61","-1.42"
"Isaac Okoro","15.83","SG","CLE","PHX","32","3,500","4.52","-1.67"
"Grayson Allen","15.69","SG","MEM","TOR","22","4,600","3.41","-7.31"
"Daniel Gafford","15.42","PF","CHI","WAS","16","3,900","3.95","-4.08"
"Jaden McDaniels","15.27","PF","MIN","DAL","22","3,500","4.36","-2.23"
"Kent Bazemore","15.16","SF","GS","SAS","16","4,400","3.45","-6.84"
